eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
2346.99,10.87,289,0.009223747,0.111328125,0.35459763,-0.013784876,0.017920075,0.7461198568344116,1784,228352,1762.417891278,456704
2349.19,11.2,294,0.016328203,0.14941406,0.3791592,-0.014979801,0.006293936,0.8617866784334183,1785,228480,1763.2883518820001,456960
2349.19,11.2,285,0.0073774112,0.12011719,0.3344214,-0.012539115,0.008004696,0.8626732975244522,1786,228608,1764.185868892,457216
2349.19,11.2,290,0.0094237,0.1796875,0.4618448,-0.019819276,0.0092024,0.9259826242923737,1787,228736,1765.0677900970002,457472
2349.19,11.2,295,0.007035872,0.11621094,0.3448479,-0.009665778,0.0034248545,0.904990941286087,1788,228864,1765.9352860390002,457728
2349.19,11.2,294,0.010949989,0.111328125,0.3199694,-0.011312743,0.0016017394,0.9598310999572277,1789,228992,1766.8042437440001,457984
2349.19,11.2,289,0.0085899485,0.15722656,0.3991707,-0.015216861,0.0014467682,0.9634348414838314,1790,229120,1767.687499498,458240
2349.19,11.2,232,0.008794836,0.13671875,0.36213338,-0.013131967,0.0013670353,0.963521983474493,1791,229248,1768.790234237,458496
2349.19,11.2,192,0.0053526345,0.1171875,0.35142058,-0.010544245,0.001272037,0.9697791375219822,1792,229376,1770.1204772120002,458752
2349.19,11.2,212,0.008436843,0.16210938,0.38625196,-0.014741717,0.0016248901,0.9556300267577171,1793,229504,1771.330439174,459008
2349.19,11.2,293,0.006265398,0.16015625,0.36880353,-0.013216201,0.0020782454,0.9426445662975311,1794,229632,1772.2041372239999,459264
2349.19,11.2,295,0.010217903,0.16113281,0.3846649,-0.014867848,0.0022530104,0.9442137144505978,1795,229760,1773.070477517,459520
2349.19,11.2,286,0.008504027,0.16992188,0.43000582,-0.013388348,0.063967556,0.49146896600723267,1796,229888,1773.96506238,459776
2349.19,11.2,285,0.013167439,0.1640625,0.4431755,-0.017340347,0.0060539464,0.8530202805995941,1797,230016,1774.862403148,460032
2349.19,11.2,291,0.012887403,0.13476562,0.3623826,-0.013399493,0.0032498748,0.9227721020579338,1798,230144,1775.7421194239998,460288
2349.19,11.2,298,0.009364329,0.119140625,0.4106099,-0.014841258,0.026112793,0.7049296796321869,1799,230272,1776.5996448090002,460544
2349.19,11.2,297,0.010636794,0.14160156,0.38595045,-0.012275956,0.005011456,0.927274264395237,1800,230400,1777.4592720520002,460800
2349.19,11.2,287,0.0053407187,0.16015625,0.52159,-0.01219305,0.07128512,0.749116063117981,1801,230528,1778.3516583500002,461056
2350.98,11.45,275,0.009553408,0.234375,0.75232816,-0.0133057665,0.07366463,0.5670902132987976,1802,230656,1779.282320387,461312
2353.2,11.56,283,0.01213392,0.15625,0.47085324,-0.019976843,0.021884982,0.6277147829532623,1803,230784,1780.1868208560002,461568
2353.2,11.56,264,0.010863721,0.17089844,0.45872754,-0.018797873,0.032075297,0.6394376754760742,1804,230912,1781.15521793,461824
2353.2,11.56,193,0.008664775,0.12695312,0.44154763,-0.011930032,0.027920956,0.7056281864643097,1805,231040,1782.476832997,462080
2353.2,11.56,182,0.0071956683,0.1484375,0.4907397,-0.013874243,0.053711154,0.5183091461658478,1806,231168,1783.8817935559998,462336
2353.2,11.56,290,0.009697853,0.15039062,0.45903784,-0.016223291,0.06627183,0.5510192513465881,1807,231296,1784.764881983,462592
2353.2,11.56,289,0.006137792,0.13867188,0.44294026,-0.016354697,0.035144854,0.75196972489357,1808,231424,1785.649700928,462848
2353.2,11.56,294,0.0066294735,0.12792969,0.41473734,-0.01265894,0.0031327205,0.9396677054464817,1809,231552,1786.519582624,463104
2353.2,11.56,288,0.008370275,0.12011719,0.32527992,-0.014156703,0.0030825273,0.8850215077400208,1810,231680,1787.4069492279998,463360
2353.2,11.56,298,0.010250973,0.119140625,0.30087754,-0.0116038965,0.002520014,0.9209166094660759,1811,231808,1788.266533484,463616
2353.2,11.56,294,0.006857306,0.12695312,0.4162715,-0.015474022,0.0031466344,0.9389986023306847,1812,231936,1789.137581624,463872
2353.2,11.56,291,0.013314023,0.13476562,0.37050825,-0.012439654,0.0019529427,0.9341032058000565,1813,232064,1790.016078163,464128
2353.2,11.56,289,0.010852968,0.14257812,0.3552554,-0.012868309,0.02689349,0.7424570620059967,1814,232192,1790.8999956760001,464384
2353.2,11.56,286,0.011769609,0.16210938,0.5496742,-0.017652234,0.03931953,0.7248240113258362,1815,232320,1791.794514114,464640
2353.2,11.56,286,0.0061793393,0.12792969,0.4406022,-0.010353715,0.02120398,0.5781128704547882,1816,232448,1792.689130132,464896
2353.2,11.56,287,0.006652223,0.10839844,0.33385918,-0.008630351,0.0059404816,0.8549063056707382,1817,232576,1793.5812821910001,465152
2353.2,11.56,201,0.006803463,0.14941406,0.42879337,-0.015455798,0.0029276346,0.927831307053566,1818,232704,1794.853549578,465408
2359.13,11.88,186,0.01652146,0.13867188,0.414564,-0.017561536,0.012356883,0.8801572173833847,1819,232832,1796.227844359,465664
2359.13,11.88,254,0.008044577,0.14257812,0.576525,-0.017012453,0.078160584,0.6246791481971741,1820,232960,1797.2329494869998,465920
2359.13,11.88,280,0.0133616,0.17285156,0.56875557,-0.016953217,0.024213891,0.7290933728218079,1821,233088,1798.147037981,466176
2359.13,11.88,295,0.006585352,0.14160156,0.49296117,-0.014706887,0.04467054,0.769863486289978,1822,233216,1799.014640825,466432
2359.13,11.88,291,0.008910053,0.19140625,0.5149096,-0.019366961,0.047640752,0.6416682302951813,1823,233344,1799.893591578,466688
2359.13,11.88,297,0.013197031,0.15332031,0.4486277,-0.015378991,0.015470805,0.8663484454154968,1824,233472,1800.7536592459999,466944
2362.67,11.89,283,0.0077266577,0.16601562,0.4783819,-0.016335588,0.030935742,0.7399916648864746,1825,233600,1801.6569861720002,467200
2362.67,11.89,293,0.007794511,0.15039062,0.3935166,-0.017509606,0.017713558,0.8090924322605133,1826,233728,1802.529088513,467456
2362.67,11.89,292,0.008626135,0.18164062,0.7048228,-0.020610888,0.09313455,0.22398227453231812,1827,233856,1803.4052794440001,467712
2362.67,11.89,294,0.007286179,0.14453125,0.5070121,-0.016016196,0.022962393,0.4816907048225403,1828,233984,1804.275493881,467968
2362.67,11.89,284,0.009131677,0.13964844,0.4841408,-0.018020006,0.03194056,0.5771642029285431,1829,234112,1805.1755096959998,468224
2362.67,11.89,291,0.00561093,0.1015625,0.32460725,-0.012638728,0.010110907,0.8272937387228012,1830,234240,1806.0542205680001,468480
2362.67,11.89,248,0.007587285,0.1484375,0.44228548,-0.01878491,0.0074031595,0.8804867267608643,1831,234368,1807.083940629,468736
2362.67,11.89,192,0.005287789,0.13867188,0.42869285,-0.015107046,0.006068834,0.8753126859664917,1832,234496,1808.4120628470002,468992
2362.67,11.89,199,0.004914384,0.09082031,0.36789995,-0.010990653,0.0055936044,0.9144904166460037,1833,234624,1809.6937267290002,469248
2362.67,11.89,283,0.004515364,0.12402344,0.4770856,-0.013629521,0.01162049,0.795270100235939,1834,234752,1810.596583718,469504
2362.67,11.89,291,0.005891981,0.099609375,0.38120252,-0.011626346,0.0041632266,0.9147184789180756,1835,234880,1811.476723217,469760
2362.67,11.89,295,0.0104123,0.12402344,0.3983293,-0.010661575,0.0037723798,0.9187676459550858,1836,235008,1812.3442471219998,470016
2363.4,12.12,287,0.01905375,0.19335938,0.5693924,-0.019659907,0.019816415,0.6492250859737396,1837,235136,1813.2363392230002,470272
2363.4,12.12,291,0.0074674133,0.1484375,0.46490747,-0.010491631,0.038533878,0.41594362258911133,1838,235264,1814.1154017760002,470528
2363.4,12.12,291,0.009686779,0.15527344,0.5313181,-0.017924445,0.013059778,0.7888195663690567,1839,235392,1814.9950840970002,470784
2363.4,12.12,282,0.007197324,0.15234375,0.54569346,-0.018709274,0.038104128,0.46785658597946167,1840,235520,1815.900844694,471040
2363.4,12.12,287,0.0048597152,0.107421875,0.4498869,-0.009457778,0.0029690908,0.9245842471718788,1841,235648,1816.7933775630001,471296
2363.4,12.12,271,0.012310396,0.15722656,0.41072172,-0.012993334,0.012789778,0.7163667976856232,1842,235776,1817.7379264950002,471552
2363.4,12.12,281,0.008978329,0.14550781,0.5082475,-0.013748808,0.024332017,0.6662607789039612,1843,235904,1818.64636456,471808
2366.04,12.3,271,0.009758692,0.14355469,0.4668431,-0.0150802005,0.022039648,0.7798148542642593,1844,236032,1819.591406406,472064
2366.04,12.3,192,0.008672185,0.14453125,0.44553664,-0.018052435,0.010293245,0.8351512402296066,1845,236160,1820.9238248120002,472320
2366.04,12.3,189,0.008975838,0.16699219,0.50597036,-0.01744972,0.0076915063,0.8219433575868607,1846,236288,1822.272576009,472576
2366.04,12.3,283,0.0048382943,0.119140625,0.38575518,-0.014885059,0.0029963637,0.9242926761507988,1847,236416,1823.176585386,472832
2366.04,12.3,274,0.0066649155,0.12988281,0.46608236,-0.013446826,0.05814566,0.48526763916015625,1848,236544,1824.110612909,473088
2366.04,12.3,290,0.009104014,0.17089844,0.5334602,-0.017516837,0.03255587,0.4411967396736145,1849,236672,1824.9919756259999,473344
2366.04,12.3,281,0.0063678618,0.12792969,0.31223494,-0.009702736,0.0022659346,0.9219789206981659,1850,236800,1825.900461086,473600
2366.04,12.3,293,0.010664974,0.13671875,0.37020606,-0.014575959,0.0022266142,0.9521543867886066,1851,236928,1826.7733497370002,473856
2366.04,12.3,281,0.008355286,0.14941406,0.4385488,-0.013444571,0.0029046333,0.9121850654482841,1852,237056,1827.6828365540002,474112
2366.04,12.3,278,0.0070068333,0.11621094,0.33547446,-0.010990085,0.0022194583,0.9427088834345341,1853,237184,1828.6015977200002,474368
2361.2,12.5,276,0.018196085,0.17089844,0.44967288,-0.016702138,0.0040351944,0.9260302186012268,1854,237312,1829.5276152570002,474624
2361.2,12.5,280,0.009878812,0.14746094,0.4615674,-0.0150543535,0.01299142,0.8009034693241119,1855,237440,1830.4420053750002,474880
2361.2,12.5,277,0.008095713,0.1640625,0.5021558,-0.019137492,0.0249364,0.6444450914859772,1856,237568,1831.365354358,475136
2361.2,12.5,285,0.009166343,0.15039062,0.39230075,-0.01351771,0.0033065164,0.934006854891777,1857,237696,1832.2641861559998,475392
2361.2,12.5,197,0.010608373,0.15136719,0.48821333,-0.015716804,0.028111625,0.5316821038722992,1858,237824,1833.5590096130002,475648
2361.2,12.5,187,0.008521045,0.1640625,0.42251953,-0.017009813,0.0036309885,0.9077369198203087,1859,237952,1834.9272386330001,475904
2361.2,12.5,273,0.010556114,0.14941406,0.40674892,-0.0155562805,0.0022531291,0.9467567168176174,1860,238080,1835.864895775,476160
2361.2,12.5,286,0.006822071,0.13476562,0.41164714,-0.016292326,0.0031351855,0.9297123625874519,1861,238208,1836.7581092870003,476416
2357.07,12.67,285,0.011478655,0.15820312,0.46418807,-0.0155715095,0.0031897102,0.9212053492665291,1862,238336,1837.6566024780002,476672
2357.07,12.67,281,0.008153331,0.14453125,0.50139076,-0.0149196405,0.0071093505,0.9339331537485123,1863,238464,1838.5657359210002,476928
2357.07,12.67,282,0.0055534565,0.14648438,0.50159943,-0.016028948,0.026898442,0.8253395706415176,1864,238592,1839.472246256,477184
2357.07,12.67,281,0.00689936,0.14648438,0.4792061,-0.015421353,0.003842548,0.9246525838971138,1865,238720,1840.3807342860002,477440
2357.07,12.67,296,0.008589147,0.13671875,0.3969204,-0.011938237,0.0017597202,0.9456848688423634,1866,238848,1841.244794432,477696
2357.07,12.67,285,0.011592553,0.15820312,0.3434839,-0.012654233,0.0018329644,0.9485012590885162,1867,238976,1842.1410897829999,477952
2357.07,12.67,286,0.012860237,0.18359375,0.46069536,-0.014587955,0.0021520725,0.9617824889719486,1868,239104,1843.0353151269999,478208
2357.07,12.67,295,0.009290489,0.17285156,0.39210233,-0.013986433,0.0012759449,0.9574935175478458,1869,239232,1843.9026045859998,478464
2357.07,12.67,285,0.0053872894,0.10253906,0.33480582,-0.012121921,0.0009670217,0.9703127890825272,1870,239360,1844.800426344,478720
2353.98,12.84,214,0.011861206,0.14453125,0.38958958,-0.013961326,0.0040845657,0.9311149343848228,1871,239488,1845.992869933,478976
2353.98,12.84,190,0.010111707,0.15332031,0.529192,-0.016027367,0.039444335,0.620913565158844,1872,239616,1847.3346062030002,479232
2353.98,12.84,245,0.008858552,0.1484375,0.4635856,-0.015697114,0.006612446,0.8445855230093002,1873,239744,1848.3777738259998,479488
2353.98,12.84,291,0.009494268,0.17675781,0.45291558,-0.016238868,0.0030751384,0.9206346496939659,1874,239872,1849.2571067800002,479744
2353.98,12.84,285,0.0062840455,0.12109375,0.366281,-0.0111879045,0.0024096004,0.9202040508389473,1875,240000,1850.153223432,480000
2353.98,12.84,293,0.008439782,0.1328125,0.38029355,-0.0131326,0.0020778733,0.9452297128736973,1876,240128,1851.0269731800001,480256
2353.98,12.84,281,0.006172154,0.15820312,0.44820765,-0.015926868,0.0014402914,0.9693398382514715,1877,240256,1851.9364606259999,480512
2353.98,12.84,294,0.0070279306,0.16503906,0.4907484,-0.015052874,0.0029365958,0.9349804818630219,1878,240384,1852.807657471,480768
2351.82,13.08,282,0.009663018,0.15527344,0.45872685,-0.016268343,0.0043525533,0.9112412333488464,1879,240512,1853.7137373970002,481024
2351.82,13.08,281,0.010954147,0.20996094,0.57182974,-0.008614611,0.030505326,0.7996288388967514,1880,240640,1854.6225516309999,481280
2351.82,13.08,284,0.00755544,0.20019531,0.63058984,-0.013509069,0.06068472,0.8199017643928528,1881,240768,1855.523427211,481536
2351.82,13.08,296,0.006449004,0.16992188,0.5919244,-0.014108275,0.034754284,0.6684072315692902,1882,240896,1856.3877021260002,481792
2351.82,13.08,284,0.007632839,0.18457031,0.6158939,-0.014938285,0.04885422,0.797092393040657,1883,241024,1857.287767653,482048
2351.82,13.08,236,0.012014634,0.18847656,0.5212354,-0.018838573,0.0154996775,0.8483090251684189,1884,241152,1858.3712046990001,482304
2351.82,13.08,197,0.01158529,0.24902344,0.6904261,-0.022276781,0.036128517,0.6511273384094238,1885,241280,1859.6707488670002,482560
